Airport_Name,Most_Frequent_Reason,Num_Cancelled
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,5
"Idaho Falls, ID: Idaho Falls Regional",Carrier,1
"Indianapolis, IN: Indianapolis International",Weather,22
"Iron Mountain/Kingsfd, MI: Ford",Weather,2
"Islip, NY: Long Island MacArthur",Carrier,6
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Jackson, WY: Jackson Hole",Weather,5
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,3
"Jacksonville, FL: Jacksonville International",Weather,11
"Jamestown, ND: Jamestown Regional",Weather,3
"Juneau, AK: Juneau International",Weather,8
"Kahului, HI: Kahului Airport",Carrier,27
"Kalamazoo, MI: Kalamazoo/Battle Creek International",Weather,2
"Kalispell, MT: Glacier Park International",Carrier,4
"Kansas City, MO: Kansas City International",Weather,19
"Kansas City, MO: Kansas City International",Carrier,19
"Ketchikan, AK: Ketchikan International",Carrier,1
"Ketchikan, AK: Ketchikan International",Weather,1
"Key West, FL: Key West International","National Air System",1
"Key West, FL: Key West International",Weather,1
"Killeen, TX: Robert Gray AAF",Weather,4
"Knoxville, TN: McGhee Tyson",Weather,4
"Kodiak, AK: Kodiak Airport",Weather,6
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,9
"Kotzebue, AK: Ralph Wien Memorial",Weather,12
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,3
"Lake Charles, LA: Lake Charles Regional",Weather,3
"Lansing, MI: Capital Region International",Weather,3
"Laramie, WY: Laramie Regional",Weather,1
"Laredo, TX: Laredo International",Weather,1
"Las Vegas, NV: McCarran International","National Air System",61
"Latrobe, PA: Arnold Palmer Regional",Weather,4
"Lexington, KY: Blue Grass",Weather,11
"Lihue, HI: Lihue Airport",Carrier,12
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,10
"Long Beach, CA: Long Beach Airport",Weather,5
"Longview, TX: East Texas Regional",Weather,2
"Los Angeles, CA: Los Angeles International",Carrier,112
"Louisville, KY: Louisville Muhammad Ali International",Weather,17
"Lubbock, TX: Lubbock Preston Smith International",Weather,10
"Madison, WI: Dane County Regional-Truax Field",Weather,6
"Manchester, NH: Manchester-Boston Regional",Weather,29
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,3
"Marquette, MI: Sawyer International",Weather,2
"Medford, OR: Rogue Valley International - Medford",Weather,1
"Melbourne, FL: Melbourne International",Carrier,3
"Memphis, TN: Memphis International",Weather,15
"Miami, FL: Miami International",Carrier,27
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,7
"Milwaukee, WI: General Mitchell International",Weather,45
"Minneapolis, MN: Minneapolis-St Paul International",Weather,102
"Minot, ND: Minot International",Weather,6
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,4
"Mobile, AL: Mobile Regional",Weather,3
"Moline, IL: Quad City International",Weather,3
"Monroe, LA: Monroe Regional",Weather,4
"Monterey, CA: Monterey Regional",Weather,5
"Montrose/Delta, CO: Montrose Regional",Weather,1
"Mosinee, WI: Central Wisconsin",Weather,1
"Mosinee, WI: Central Wisconsin",Carrier,1
"Myrtle Beach, SC: Myrtle Beach International",Weather,10
"Nashville, TN: Nashville International",Weather,75
"New Orleans, LA: Louis Armstrong New Orleans International",Carrier,26
"New York, NY: John F. Kennedy International",Carrier,102
"New York, NY: LaGuardia",Weather,136
"Newark, NJ: Newark Liberty International",Weather,85
"Newburgh/Poughkeepsie, NY: New York Stewart International",Weather,2
"Niagara Falls, NY: Niagara Falls International",Weather,1
"Nome, AK: Nome Airport",Weather,12
"Norfolk, VA: Norfolk International",Weather,10
"Oakland, CA: Metropolitan Oakland International",Weather,11
"Oklahoma City, OK: Will Rogers World",Weather,6
"Omaha, NE: Eppley Airfield",Weather,11
"Ontario, CA: Ontario International",Weather,12
"Orlando, FL: Orlando International",Weather,101
"Palm Springs, CA: Palm Springs International",Weather,8
"Panama City, FL: Northwest Florida Beaches International",Weather,5
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,2
"Pellston, MI: Pellston Regional Airport of Emmet County",Weather,2
"Pensacola, FL: Pensacola International",Weather,6
"Peoria, IL: General Downing - Peoria International",Weather,2
"Peoria, IL: General Downing - Peoria International",Carrier,2
"Petersburg, AK: Petersburg James A Johnson",Weather,2
"Petersburg, AK: Petersburg James A Johnson",Carrier,2
"Philadelphia, PA: Philadelphia International",Weather,27
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,5
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,83
"Pittsburgh, PA: Pittsburgh International",Weather,20
"Portland, ME: Portland International Jetport",Weather,31
"Portland, OR: Portland International",Carrier,20
"Prescott, AZ: Prescott Regional Ernest A Love Field",Weather,1
"Providence, RI: Theodore Francis Green State",Weather,7
"Provo, UT: Provo Municipal",Weather,1
"Provo, UT: Provo Municipal",Carrier,1
"Punta Gorda, FL: Punta Gorda Airport",Carrier,3
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,23
"Rapid City, SD: Rapid City Regional",Weather,11
"Redding, CA: Redding Municipal",Weather,4
"Reno, NV: Reno/Tahoe International",Weather,9
"Richmond, VA: Richmond International",Weather,10
"Richmond, VA: Richmond International",Carrier,10
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,4
"Rochester, MN: Rochester International",Carrier,2
"Rochester, NY: Greater Rochester International",Weather,16
"Roswell, NM: Roswell International Air Center",Weather,2
"Sacramento, CA: Sacramento International",Carrier,10
"Sacramento, CA: Sacramento International",Weather,10
"Saginaw/Bay City/Midland, MI: MBS International",Weather,1
"Salina, KS: Salina Regional",Weather,2
"Salt Lake City, UT: Salt Lake City International",Carrier,68
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,4
"San Antonio, TX: San Antonio International",Weather,21
"San Diego, CA: San Diego International",Carrier,28
"San Francisco, CA: San Francisco International",Weather,117
"San Jose, CA: Norman Y. Mineta San Jose International",Weather,17
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,17
"San Juan, PR: Luis Munoz Marin International",Carrier,18
"San Luis Obispo, CA: San Luis County Regional",Weather,5
"Sanford, FL: Orlando Sanford International",Weather,9
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,16
"Santa Barbara, CA: Santa Barbara Municipal",Weather,5
"Santa Barbara, CA: Santa Barbara Municipal","National Air System",5
"Santa Fe, NM: Santa Fe Municipal",Weather,2
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,2
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,10
"Sault Ste. Marie, MI: Chippewa County International",Weather,2
"Savannah, GA: Savannah/Hilton Head International",Weather,8
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,2
"Seattle, WA: Seattle/Tacoma International",Carrier,76
"Shreveport, LA: Shreveport Regional",Weather,2
