Airline,Max_Early_Departure
"Alaska Airlines Inc.: AS",42
"SkyWest Airlines Inc.: OO",39
"Allegiant Air: G4",34
"Envoy Air: MQ",33
"Endeavor Air Inc.: 9E",32
"JetBlue Airways: B6",31
"Spirit Air Lines: NK",29
"Frontier Airlines Inc.: F9",28
"Delta Air Lines Inc.: DL",27
"American Airlines Inc.: AA",25
"United Air Lines Inc.: UA",23
"Hawaiian Airlines Inc.: HA",23
"Republic Airline: YX",22
"PSA Airlines Inc.: OH",20
"Southwest Airlines Co.: WN",20
